Date,Open Price,Close Price,High Price,Low Price,Volume
05-Jun-14,3239.64,3267.05,3291.89,3227.85,0
06-Jun-14,3267.05,3294.28,3297.51,3262.76,0
09-Jun-14,3296.78,3305.26,3305.26,3289.19,0
10-Jun-14,3305.17,3313.8,3314.67,3298.47,0
11-Jun-14,3311.02,3289.09,3311.02,3285.15,0
12-Jun-14,3289.57,3284.28,3299.32,3277.36,0
13-Jun-14,3282,3282.84,3291.5,3254.53,0
16-Jun-14,3276.33,3261.42,3278.6,3259.82,0
17-Jun-14,3268.56,3275.33,3284.73,3256.2,0
18-Jun-14,3278.2,3279.2,3289.09,3275.83,0
19-Jun-14,3299.81,3314.8,3325.5,3299.81,0
20-Jun-14,3311.87,3302.36,3324.2,3302.36,0
23-Jun-14,3301.18,3282.58,3302.9,3270.11,0
24-Jun-14,3289.07,3284.81,3294.69,3275.79,0
25-Jun-14,3272.49,3252.31,3274.92,3243.25,0
26-Jun-14,3255.69,3233.19,3261.38,3215.72,0
27-Jun-14,3237.16,3227.85,3248.93,3221.04,0
30-Jun-14,3230.28,3228.24,3247.34,3211.5,0
01-Jul-14,3234.74,3258.71,3258.93,3234.3,0
02-Jul-14,3257.88,3252.25,3265.69,3243.04,0
03-Jul-14,3251.63,3289.75,3289.82,3246.38,0
04-Jul-14,3286.07,3270.47,3286.07,3270.47,0
07-Jul-14,3264.21,3230.92,3269.32,3230.92,0
08-Jul-14,3236.4,3184.38,3239.82,3184.38,0
09-Jul-14,3189.94,3203.1,3206.47,3185.2,0
10-Jul-14,3201.72,3150.59,3201.72,3132.87,0
11-Jul-14,3157.35,3157.05,3174.16,3143.95,0
14-Jul-14,3161.4,3185.86,3190.47,3161.4,0
15-Jul-14,3180.5,3153.75,3183.85,3150.56,0
16-Jul-14,3164.24,3202.94,3203.48,3164.24,0
17-Jul-14,3190.23,3157.82,3193.42,3155.37,0
18-Jul-14,3149.18,3164.21,3164.21,3132.12,0
21-Jul-14,3165.02,3137.06,3165.02,3130.84,0
22-Jul-14,3147.47,3189.22,3191.54,3147.47,0
23-Jul-14,3183.19,3193.13,3209.5,3178.41,0
24-Jul-14,3190.22,3220.07,3223.88,3170.04,0
25-Jul-14,3213.23,3174.99,3220.49,3165.77,0
28-Jul-14,3183.03,3171.55,3189.44,3147.85,0
29-Jul-14,3176.1,3190.54,3206.06,3163.69,0
30-Jul-14,3184.79,3169.23,3210.67,3163.63,0
31-Jul-14,3174.4,3115.51,3178.76,3109.26,0
01-Aug-14,3118.83,3072.57,3118.83,3064.6,0
04-Aug-14,3082.59,3070.46,3094.91,3061.85,0
05-Aug-14,3080.8,3072.2,3095.13,3061.28,0
06-Aug-14,3062.21,3050.37,3062.21,3018.26,0
07-Aug-14,3049.41,3012.88,3060.37,3008.33,0
08-Aug-14,3001.42,3006.83,3025.66,2977.52,0
11-Aug-14,3019.44,3047.56,3053.52,3019.44,0
12-Aug-14,3042.79,3023.77,3051.24,3017.64,0
13-Aug-14,3032.35,3056.17,3062.24,3032.35,0
14-Aug-14,3048.67,3058.16,3072.27,3032.05,0
15-Aug-14,3063.28,3033.52,3093.74,3028.61,0
18-Aug-14,3056.65,3073.45,3081.71,3056.65,0
19-Aug-14,3079.12,3091.11,3095.17,3079.12,0
20-Aug-14,3086.31,3083.5,3092.15,3065.16,0
21-Aug-14,3085.71,3124.56,3124.56,3075.57,0
22-Aug-14,3123.9,3098.5,3127.8,3084.02,0
